 2 		          1 	                 1000
 2 		          1 	                 1000
 2 		          1 	                 1000
 8 		          4 	               100000
 8 		          6 	              1000000
 8 		         14 	             10000000
 8 		        301 	           1000000000
 8 		          5 	                 1000
 8 		          5 	                10000
 8 		          5 	               100000
 8 		          6 	              1000000
 8 		          9 	             10000000
 8 		         40 	            100000000
 8 		        319 	           1000000000
16 		         11 	                10000
16 		         11 	               100000
16 		         11 	              1000000
16 		         11 	              1000000
16 		         12 	             10000000
16 		         31 	            100000000
16 		        247 	           1000000000
